Time RV eRV BIS FWHM Contrast
55023.89790206 -2.16804669 0.60880415 -54.47786579 6731.78226332 53.35529077
55023.90191903 -1.88374413 0.60948310 -56.88354407 6734.65296957 53.34305691
55025.70813897 -2.76755046 0.66309542 -56.87339816 6737.26445324 53.35765960
55025.71143138 -1.85390191 0.65561149 -55.55897068 6733.04503131 53.37210253
55025.71475213 -3.04792596 0.67178081 -55.17437511 6734.36027501 53.35241287
55036.78191644 -1.58301485 0.82917377 -57.79877633 6733.79470240 53.39823082
55036.78368398 1.54413248 0.82976627 -53.92884766 6732.80247627 53.39229009
55036.78549690 -0.16402250 0.73280333 -59.20681175 6734.45036092 53.38668542
55036.78721165 0.53934014 0.70359290 -57.94266546 6733.32173928 53.39163301
55036.78898510 0.92000265 0.72917168 -56.84806111 6734.70609014 53.38805230
55036.79075566 0.41656455 0.76636716 -57.51453381 6733.84897617 53.38393045
55037.79799251 -2.57284057 0.70312084 -55.08750538 6735.98213373 53.37932070
55037.79977485 2.72690632 0.70949327 -56.71844535 6732.39030161 53.38059608
55037.80150374 0.32207949 0.71102624 -57.08999385 6735.98016198 53.36624082
55037.80330890 0.55670196 0.72003305 -56.27336331 6736.44728782 53.36978455
55037.80509866 1.18069047 0.69729683 -55.49577644 6737.90189989 53.37336954
55037.80682754 0.12588108 0.75411821 -58.30319145 6736.83371267 53.36757693
55039.78758170 2.38448850 0.79699971 -55.30120915 6733.19536584 53.38792119
55039.78910386 2.98035732 0.91649462 -58.27848396 6732.38151254 53.39302860
55039.79073319 3.29605571 0.89685988 -56.99946066 6728.61335556 53.41415214
55039.79232017 0.53124733 0.83227153 -59.49479029 6729.33427528 53.40658105
55039.79391536 3.51986557 0.87684520 -56.77612876 6729.49525172 53.38163188
55039.79548128 3.24532807 0.91315547 -57.50503663 6731.27758776 53.39330768
55039.79709729 2.69343108 0.89651583 -57.89057389 6727.67619732 53.40298380
55041.70041313 2.26070453 0.41924093 -57.77254415 6735.32362505 53.38973457
55041.70560611 1.78114555 0.41231577 -58.28854597 6733.65593381 53.39932070
55045.80261242 1.23792526 0.41544620 -58.85605368 6727.94417961 53.44944946
55046.83339011 -0.37682767 0.42980876 -60.45035873 6725.93628881 53.46269447
55047.81765793 -1.29863853 0.54867504 -60.66582882 6724.64589344 53.45938359
55047.82273977 -1.47542373 0.48296181 -60.00577189 6725.31745927 53.47507387
55066.70600730 -4.04156118 0.28015905 -59.39855947 6735.07201538 53.42017363
55067.72445364 -2.73896402 0.27675329 -58.92163403 6728.98479375 53.45362891
55068.70977095 -3.49219377 0.32932224 -59.44245025 6726.79827084 53.47358845
55069.71362287 -1.14409107 0.25960440 -58.44732182 6729.27893960 53.46862498
55072.65607207 4.38705248 0.74856273 -58.84888282 6731.22538184 53.43262017
55072.65856477 5.28643058 0.64094406 -57.29433418 6724.23674872 53.46633509
55072.66098689 4.77130535 0.61132497 -58.31478925 6726.04979897 53.42673926
55072.66342103 5.78268162 0.60369219 -59.85310886 6723.54021638 53.44273466
55075.66126674 3.80594691 0.72044821 -58.76247274 6727.54201395 53.43794587
55075.66369823 4.16950560 0.67406423 -57.14966939 6730.38591146 53.42031101
55075.66612797 4.85811336 0.61064796 -58.22946788 6729.63716339 53.42731784
55078.68148104 -1.58679345 1.06967536 -61.80038471 6733.11871691 53.38125350
55078.68437141 -1.28732008 1.20664824 -62.09896789 6733.91481438 53.35563125
55078.68686332 0.48650811 1.27809321 -56.27285615 6732.18299383 53.36846625
55078.68993863 -0.54822187 1.43987096 -63.21187527 6730.43394309 53.32955254
55109.55059587 -1.61519081 0.59883384 -60.28348669 6724.02448079 53.45694203
55109.55653476 -1.65383749 0.86222695 -58.23563595 6723.74665950 53.45585673
55110.57724812 -2.11731704 0.42434966 -60.44830157 6727.50458977 53.44825954
55110.58272015 -3.11001317 0.39650355 -61.46311417 6728.40038011 53.45780772
